GIS_FPC_PP,PERIMETER,MAT,LIGHTS,PARK,SPACES,LAT,LNG
1648.53483964,170.25546113,Asphalt,0,East Fairmount Park,6,39.9884478056,-75.1964320638
13974.2516324,612.95420082,Asphalt,1,East Fairmount Park,20,39.974401382,-75.1886754498
6796.14810638,382.11846464,Asphalt,0,East Fairmount Park,15,39.9711484313,-75.1872420174
5860.90923464,306.78738687,Asphalt,0,East Fairmount Park,15,39.9718741437,-75.1883985895
8225.6007576,484.7496198,Gravel,0,East Fairmount Park,15,39.9819625509,-75.1910409284
32363.7869936,1240.66306232,Asphalt,1,East Fairmount Park,50,39.9870572942,-75.200489591
13392.5010778,688.46367505,Gravel,1,East Fairmount Park,60,39.9681519572,-75.184374712
3702.57998479,354.77117388,Earth,0,East Fairmount Park,12,40.014639477,-75.2071707277
4528.55604484,329.76074714,Asphalt,0,East Fairmount Park,10,40.0100390378,-75.1999281418
2112.46982606,259.04258083,Paved,1,East Fairmount Park,12,39.9680416997,-75.1841120804
2324.39010895,282.91681167,Paved,1,East Fairmount Park,14,39.968094602,-75.1840177371
4677.30498292,521.69647499,Paved,1,East Fairmount Park,27,39.9685347244,-75.1844740517
7609.73230977,829.61413165,Paved,1,East Fairmount Park,45,39.9683887937,-75.184114563
73521.6512523,1376.08873251,Grass,0,Zoo Parking - Sedgeley Parking Area (D), ,39.9738673467,-75.1883697572
7180.81130628,633.13112625,Paved,1,East Fairmount Park, ,39.9701878626,-75.1897740319
1717.66132692,200.51906519,Paved,1,East Fairmount Park,7,39.9821282812,-75.1951819848
2636.37637654,315.63206071,Paved,0,East Fairmount Park,13,39.9819906669,-75.1952954398
27412.231302,736.8177587,Paved,0,East Fairmount Park, ,39.9927841281,-75.194472165
19143.7039807,697.93504917,Paved,0,East Fairmount Park, ,39.9939394564,-75.1929913189
10234.5972454,412.04940276,Asphalt,0,East Fairmount Park, ,39.9968030406,-75.1904466042
8953.48396367,818.69234252,Asphalt,0,East Fairmount Park,36,39.9966582359,-75.1885041415
6996.12736874,635.29674361,Asphalt,0,East Fairmount Park,5,39.9964494259,-75.1885505136
2225.91196109,259.59821304,Asphalt,0,East Fairmount Park,13,39.995767095,-75.1887430707
1983.58877164,223.49539069,Asphalt,0,East Fairmount Park,9,39.9960905698,-75.1884035844
3028.48548726,257.09317587,Paved,1,East Fairmount Park, ,39.9824033543,-75.1889118779
1049.84686202,130.91909859,Paved,1,East Fairmount Park, ,39.9822230873,-75.1888291295
2106.27017137,394.87824656,Paved,1,Ferko Playground, ,40.0141720302,-75.1022728049
9785.75932794,553.02637739,Asphalt,0,Fernhill Park,30,40.0163111219,-75.1691286125
3094.99200459,339.62586613,Asphalt,0,Fernhill Park,20,40.0160625834,-75.1698364488
4774.96323997,456.02678525,Asphalt,0,Fish Hatchery/Boat Ramp,20,40.0408273423,-74.9927120262
8009.15206201,477.77906512,Asphalt,0,Fish Hatchery/Boat Ramp,38,40.0409504873,-74.99261694
1138.13478702,167.93347937,Asphalt,0,Fish Hatchery/Boat Ramp,4,40.0408766829,-74.9922961244
14821.0403584,1313.02084319,Asphalt,1,Fish Hatchery/Boat Ramp,63,40.0417391672,-74.9921068094
10812.4064369,1083.28555031,Asphalt,0,Fish Hatchery/Boat Ramp,52,40.0416983511,-74.9919305647
12238.0059565,696.65041751,Aspahlt,1,Fish Hatchery/Boat Ramp,20,40.0415197863,-74.991414282
10943.300397,661.38657635,Asphalt,0,Fish Hatchery/Boat Ramp,20,40.0416618144,-74.9915615144
699.63127682,105.85390578,Grass,0,Myers Recreation Center,3,39.9346138613,-75.2276382422
492.47248707,120.0025841,Paved,0,Myers Recreation Center,2,39.934714277,-75.2275934025
951.36279327,128.83136459,Paved,0,Myers Recreation Center,4,39.9348518289,-75.2277948049
30347.049242,719.35674984,Asphalt,0,Franklin D. Rooselvelt Golf Course,100,39.9050957279,-75.1829666167
2200.35816591,249.22723768,Asphalt,1,Franklin D. Rooselvelt Park,10,39.9056013161,-75.181613539
4620.24789437,529.20290357,Asphalt,1,Franklin D. Rooselvelt Park,30,39.9048715305,-75.1818444096
4510.69420973,555.18306973,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9048319653,-75.1817108095
4404.96144185,565.93142211,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9047937546,-75.1816267732
4713.84086686,569.5958588,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9047205258,-75.1811059623
3867.96650105,545.23346224,Asphalt,0,Franklin D. Rooselvelt Park,30,39.904702275,-75.1810178767
4652.64501844,536.10504305,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9047015335,-75.1808698854
4989.37447443,625.9629961,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9011496305,-75.1822698267
5403.89349485,618.12055308,Asphalt,0,Franklin D. Rooselvelt Park,30,39.9010280459,-75.1822400116
3498.62895591,431.52973154,Asphalt,0,Franklin D. Rooselvelt Park,20,39.9013217964,-75.1809605643
3358.14748543,444.09255446,Asphalt,0,Franklin D. Rooselvelt Park,20,39.9014410711,-75.180983863
12273.566248,523.97619613,Asphalt,0,Franklin D. Rooselvelt Park,50,39.901015218,-75.1765208206
14889.984097,825.99468653,Asphalt,0,Franklin D. Rooselvelt Park,35,39.9035649893,-75.1788354201
6308.52920017,350.47940889,Asphalt,1,Franklin D. Rooselvelt Park,40,39.8985970366,-75.184143748
2365.75828868,296.40443296,Paved,0,Franklin D. Rooselvelt Park, ,39.9054318544,-75.1764937132
882.30521305,130.33815175,Paved,0,Franklin D. Rooselvelt Park,4,39.9051770984,-75.1766916741
952.43275219,134.3652235,Paved,0,Franklin D. Rooselvelt Park, ,39.9051436942,-75.1764081892
3188.66928304,242.89494765,Paved,0,Franklin D. Rooselvelt Park, ,39.9053055995,-75.1766039873
1392.24830888,238.83382881,Asphalt,0,Glen Foerd,10,40.0520845438,-74.978830014
1580.11155915,233.74047212,Asphalt,0,Glen Foerd,10,40.0521505596,-74.9792272181
2169.10393946,318.6389689,Paved,0,Gustine Recreation Center, ,40.0138441251,-75.2041717222
3864.67747422,436.65447367,Asphalt,1,Gustine Recreation Center,20,40.013062646,-75.2039234182
669.21157857,110.34417301,Asphalt,0,Gustine Recreation Center,4,40.0132168774,-75.2038134937
1605.57050586,221.22987508,Asphalt,0,Gustine Recreation Center,10,40.0133537066,-75.2036556151
1697.12208337,207.31124814,Asphalt,1,Gustine Recreation Center,9,40.0131105696,-75.2037160479
1239.60100111,167.78808477,Asphalt,1,Gustine Recreation Center,6,40.0125118495,-75.2022905185
808.77222286,127.85514912,Asphalt,1,Gustine Recreation Center,5,40.0122840501,-75.2021075757
1018.41713999,159.15069958,Asphalt,1,Gustine Recreation Center,7,40.0122654171,-75.2019182386
2484.26905909,296.0892132,Asphalt,1,Gustine Recreation Center,14,40.0125195992,-75.2021219771
3692.84850781,450.82840304,Asphalt,1,Gustine Recreation Center,23,40.012594812,-75.2020041002
2952.63247184,316.58689861,Asphalt,0,Gustine Recreation Center,14,40.0119624013,-75.2016882456
4196.77757074,372.66471725,Asphalt,0,Gustine Recreation Center,17,40.011753684,-75.2020011808
1767.39138558,235.89992297,Asphalt,0,Hayes Playground,11,40.0910977831,-75.0228797628
1769.66356285,236.06625162,Asphalt,0,Hayes Playground,11,40.0907552739,-75.022689366
715.96264049,213.8631384,Paved,0,Horticulture Center,5,39.9839359486,-75.2106948773
1048.45759381,321.13944931,Paved,0,Horticulture Center,7,39.9837997095,-75.2103264268
5281.93857154,296.21133229,Asphalt,0,Hunting Park,10,40.0147631268,-75.1455691642
12654.2795382,600.76020867,Asphalt,1,Hunting Park,40,40.0169454669,-75.1438635781
1589.85272561,163.77733911,Paved,1,Hunting Park, ,40.0155062873,-75.146758868
13014.6208889,715.82762543,Paved,0,Hunting Park, ,40.0159782457,-75.1469738291
1322.4016159,183.69360334,Paved,1,I-95 Park,8,39.9420754106,-75.1436742438
1831.23898923,245.24262058,Paved,1,I-95 Park,12,39.941741866,-75.14374338
4544.11867451,559.60739831,Paved,0,I-95 Park,25,39.9414055756,-75.1436673302
2735.32183479,347.59932208,Paved,0,I-95 Park,17,39.9413308907,-75.1438320425
1066.45527552,150.69719213,Paved,0,I-95 Park,5,39.9401413096,-75.1439900419
1022.76316334,150.06464705,Paved,1,I-95 Park,7,39.9400123756,-75.1440202428
962.43283323,149.03577255,Paved,1,I-95 Park,7,39.9396521318,-75.1440977885
988.02283882,148.15247756,Paved,1,I-95 Park,6,39.9395223428,-75.1441246213
1194.47352038,180.08609413,Paved,1,I-95 Park,8,39.9389026121,-75.144234587
1230.5990604,180.93692476,Paved,1,I-95 Park,8,39.9387748968,-75.1442640987
3305.12572336,242.21958279,Asphalt,0,Jacobs Playground, ,40.0514276555,-75.0020605393
956.45993736,124.21603673,Asphalt,0,Jacobs Playground,4,40.0517869965,-75.001612002
4270.44007755,524.62233428,Paved,0,Juniata Golf Course, ,40.0139775377,-75.1009700057
3394.86278133,431.7019982,Paved,0,Juniata Golf Course, ,40.0140876453,-75.1010284872
3446.45956604,431.63275407,Paved,0,Juniata Golf Course, ,40.0141658971,-75.1010083999
3506.92385617,436.5171098,Paved,0,Juniata Golf Course, ,40.0142681206,-75.1009843585
975.09226801,138.5942298,Paved,0,Juniata Golf Course,5,40.0140469216,-75.100112088
3610.75679637,393.37196079,Asphalt,0,Lackman Playground,12,40.0994626772,-75.0330667588
2730.8525259,326.55176393,Asphalt,0,Lackman Playground,12,40.099565504,-75.0331037691
13597.0898924,604.00337066,Paved,1,Laura Simms Rink, ,39.9600210665,-75.2477400941
8467.93682489,391.76401712,Asphalt,0,Lee Cultural Center,29,39.9619616464,-75.2109311803
8600.34793759,502.60475871,Paved,1,Mcdevitt Recreation Center, ,40.0084397864,-75.186461939
1105.77607853,166.19489141,Paved,1,Morris Estate Playground,7,40.05045887,-75.1456214569
2181.82566373,240.80663053,Asphalt,1,Juniata Park Older Adult Center,10,40.0034894645,-75.1047461159
2674.94192745,258.90613406,Asphalt,1,Juniata Park Older Adult Center,11,40.003327653,-75.1041222412
1410.36721527,167.43771154,Asphalt,1,Juniata Park Older Adult Center,6,40.003433887,-75.1040220595
5789.13185894,320.92947121,Gravel,1,Parkside-Evans Playground,10,39.9833057961,-75.2265082955
6812.18634374,374.88764464,Paved,0,Penn Treaty Park,20,39.9667019911,-75.1288044781
12900.4294189,493.9066319,Earth,0,Pennypack Creek Park, ,40.0852885703,-75.0601066018
628.09102768,101.57376977,Gravel,0,Pennypack Creek Park,2,40.0869545609,-75.0593091166
730.70218463,118.20940621,Gravel,0,Pennypack Creek Park,3,40.0870962205,-75.0592187904
754.63671388,123.83181922,Gravel,0,Pennypack Creek Park,4,40.0871237953,-75.0590738501
902.04812026,137.22716368,Grass,0,Pennypack Creek Park,6,40.0872839304,-75.0589837495
247.49451563,67.79309522,Gravel,0,Pennypack Creek Park,3,40.0873459956,-75.0591264411
1233.79496628,144.40753572,Asphalt,1,Pennypack Creek Park, ,40.0875513719,-75.0588996277
17050.3627087,768.52771838,Asphalt,0,Pennypack Creek Park,15,40.0471649243,-75.0445674628
20844.3766278,630.4749484,Asphalt,0,Pennypack Creek Park,65,40.0500995302,-75.0329900969
321.26593239,76.2667044,Asphalt,0,Pennypack Creek Park,1,40.0656460066,-75.0386963666
1599.70473987,224.17467791,Asphalt,1,Pennypack Creek Park,6,40.065869728,-75.0386246318
8069.64271752,428.71414839,Earth,0,Pennypack Creek Park,15,40.0766710623,-75.0548687618
17028.4315775,507.17656293,Gravel,0,Pennypack Creek Park,10,40.0801564549,-75.0677617584
651.56602777,108.43470438, ,0,Pennypack Creek Park, ,40.0872266858,-75.059165855
4341.64738774,456.92107883,Asphalt,0,Pennypack Creek Park, ,40.0495243965,-75.0357894284
1858.73234031,282.40631763,Asphalt,0,Pennypack Creek Park, ,40.0496686712,-75.0357646768
2287.03557592,267.53729535,Asphalt,0,Pennypack Creek Park, ,40.0499993763,-75.0358611245
3337.73603732,347.38082161,Asphalt,0,Pennypack Creek Park, ,40.0498400578,-75.0354579717
763.43828191,120.06424702,Asphalt,0,Pennypack Creek Park,5,40.04931813,-75.0341206432
2008.99634345,241.66631762,Asphalt,0,Pennypack Creek Park,12,40.0493153831,-75.0338613941
3352.33410226,390.3672548,Asphalt,0,Pennypack Creek Park,20,40.049130541,-75.0337206937
3334.82171798,406.99135397,Asphalt,0,Pennypack on the Delaware,12,40.0290939794,-75.0132896831
3312.22053267,397.44019139,Asphalt,0,Pennypack on the Delaware,8,40.0292060915,-75.0131209115
2186.87193958,354.15626961,Asphalt,0,Pennypack on the Delaware,12,40.0287549833,-75.0126866235
