BROAD ST,ROCKLAND ST,N BROAD ST & W ROCKLAND ST,-75.14721963,40.02764514
LEHIGH AV,LAWRENCE ST,W LEHIGH AVE & N LAWRENCE ST,-75.13926139,39.99197058
CB MOORE AV,BROAD ST,CECIL B MOORE AVE & N BROAD ST,-75.15791563,39.97870886
BROAD ST,CB MOORE AV,N BROAD ST & CECIL B MOORE AVE,-75.15791563,39.97870886
BROAD ST,SOMERVILLE AV,N BROAD ST & W SOMERVILLE AVE,-75.14555424,40.0352631
GIRARD AV &,POPLAR DR,,-75.2327595,40.05620361
LEHIGH AV,22ND ST,W LEHIGH AVE & N 22ND ST,-75.16756843,39.99562258
LEHIGH AV,22ND ST,W LEHIGH AVE & N 22ND ST,-75.16756843,39.99562258
LEHIGH AV,20TH ST,W LEHIGH AVE & N 20TH ST,-75.16409575,39.99517003
LEHIGH AV,20TH ST,W LEHIGH AVE & N 20TH ST,-75.16409575,39.99517003
66TH AV,16TH ST,66TH AVE & N 16TH ST,-75.14476213,40.05402351
LEHIGH AV,17TH ST,W LEHIGH AVE & N 17TH ST,-75.15936779,39.99452639
ALLEGHENY AV,FRANKFORD AV,E ALLEGHENY AVE & FRANKFORD AVE,-75.11025975,39.99295827
ALLEGHENY AV,FRANKFORD AV,E ALLEGHENY AVE & FRANKFORD AVE,-75.11025975,39.99295827
ROOSEVELT BLVD,RED LION,E ROOSEVELT BLVD & RED LION RD,-75.01552888,40.09486135
BUSTLETON AV,RHAWN ST,BUSTLETON AVE & RHAWN ST,-75.05202318,40.05953669
BUSTLETON AV,COTTMAN AV,BUSTLETON AVE & COTTMAN AVE,-75.05993725,40.04775232
BUSTLETON AV,BOWLER ST,BUSTLETON AVE & BOWLER ST,-75.03270554,40.09102517
BUSTLETON AV,VERREE RD,BUSTLETON AVE & VERREE RD,-75.02630579,40.1083258
COTTMAN AV,FRANKFORD AV,COTTMAN AVE & FRANKFORD AVE,-75.04075351,40.03679473
BUSTLETON AV,TYSON AV,BUSTLETON AVE & TYSON AVE,-75.06314408,40.04290261
CASTOR AV,COTTMAN AV,CASTOR AVE & COTTMAN AVE,-75.06604684,40.05118232
ERIE AV,KENSINGTON AV,E ERIE AVE & KENSINGTON AVE,-75.09634802,40.00585291
CASTOR AV,MAGEE AV,CASTOR AVE & MAGEE AVE,-75.0750337,40.04194114
OXFORD AV,PRATT ST,OXFORD AVE & PRATT ST,-75.08493161,40.02637793
RISING SUN,MARTINS,RISING SUN AVE & MARTINS MILL RD,-75.09213223,40.05317944
RISING SUN,ADAMS,RISING SUN AVE & ADAMS AVE,-75.11001149,40.03915035
RISING SUN,ADAMS,RISING SUN AVE & ADAMS AVE,-75.11001149,40.03915035
FRANKFORD AV,RHAWN ST,FRANKFORD AVE & RHAWN ST,-75.02825704,40.04136484
ACADMEY RD,GRANT AV,ACADEMY RD & GRANT AVE,-75.00727005,40.06916284
BUSTLETON AV,LEVICK ST,BUSTLETON AVE & LEVICK ST,-75.070524,40.03561923
BUSTLETON AV,COTTMAN AV,BUSTLETON AVE & COTTMAN AVE,-75.05993725,40.04775232
COTTMAN AV,RISING SUN,COTTMAN AVE & RISING SUN AVE,-75.08383427,40.06147383
ACADMEY RD,RED LION,ACADEMY RD & RED LION RD,-74.99723467,40.08002409
RHAWN ST,ROWLAND AV,RHAWN ST & ROWLAND AVE,-75.03154162,40.04568229
BUSTLETON AV,SOLLY AV,BUSTLETON AVE & SOLLY AVE,-75.05168546,40.06314244
BUSTLETON AV,HELLERMAN ST,BUSTLETON AVE & HELLERMAN ST,-75.06926296,40.03681031
RISING SUN,BENNER,RISING SUN AVE & BENNER ST,-75.09956586,40.04605719
ROOSEVELT BLVD,GRANT AV,E ROOSEVELT BLVD & GRANT AVE,-75.02895282,40.08096931
FRANKFORD AV,WELLINGTON AV,FRANKFORD AVE & WELLINGTON ST,-75.04243452,40.03596249
CASTOR AV,HOFFNAGLE ST,CASTOR AVE & HOFFNAGLE ST,-75.05263662,40.06555483
BUSTLETON AV,GLENDALE AV,BUSTLETON AVE & GLENDALE AVE,-75.05396919,40.05493142
RISING SUN,COMLY,RISING SUN AVE & COMLY ST,-75.101107,40.04503971
TORRESDALE AV,CHELTENHAM AV,TORRESDALE AVE & E CHELTENHAM AVE,-75.06338601,40.01552103
COTTMAN AV,LORETTO AV,COTTMAN AVE & LORETTO AVE,-75.06772434,40.05214659
CHAMPLOST AV,A ST,E CHAMPLOST AVE & A ST,-75.11844515,40.04120435
ROOSEVELT BLVD,WOODWARD ST,E ROOSEVELT BLVD & WOODWARD ST,-75.03829934,40.07126289
ROOSEVELT BLVD,UNRUH AV,E ROOSEVELT BLVD & UNRUH AVE,-75.06305765,40.03714192
ADMEY RD,AVALON ST,ACADEMY RD & AVALON ST,-75.00089835,40.0758268
HUNTING PARK,L St,E HUNTING PARK AVE & L ST,-75.10221798,40.01079014
ROOSEVELT BLVD,BORBECK AV,E ROOSEVELT BLVD & BORBECK AVE,-75.04951012,40.0543255
COTTMAN AV,ROOSEVELT BLVD,COTTMAN AVE & E ROOSEVELT BLVD,-75.05464796,40.04464634
COTTMAN AV,HANFORD ST,COTTMAN AVE & HANFORD ST,-75.05772603,40.04641155
BUSTLETON AV,BLEIGH AV,BUSTLETON AVE & BLEIGH AVE,-75.0582853,40.049689
BUSTLETON AV,HENDRIX ST,BUSTLETON AVE & HENDRIX ST,-75.01800541,40.11891014
CASTOR AV,GLENDALE AV,CASTOR AVE & GLENDALE AVE,-75.06173731,40.05589323
COTTMAN AV,RUPERT ST,COTTMAN AVE & RUPERT ST,-75.05638403,40.04564092
BUSTLETON AV,MAGEE AV,BUSTLETON AVE & MAGEE AVE,-75.06800372,40.03806086
BUSTLETON AV,TOMLINSON RD,BUSTLETON AVE & TOMLINSON RD,-75.02304283,40.11299909
VERREE RD,SUSQUEHANNA RD,VERREE RD & SUSQUEHANNA RD,-75.06846471,40.0801655
ROOSEVELT BLVD,HORNIG ST,E ROOSEVELT BLVD & HORNIG RD,-74.99101241,40.11235774
G ST,HUNTING PARK,G ST & E HUNTING PARK AVE,-75.11216242,40.01208645
BUSTLETON AV,LAWLER ST,BUSTLETON AVE & LAWLER ST,-75.02514252,40.10995671
ROOSEVELT BVLD,LANGDON ST,E ROOSEVELT BLVD & LANGDON ST,-75.09916996,40.02740163
TORRESDALE AV,ROBBINS AV,TORRESDALE AVE & ROBBINS ST,-75.05372604,40.02051418
ALLEGHENY AV,ARAMINGO AV,E ALLEGHENY AVE & ARAMINGO AVE,-75.10632635,39.9885252
ARAMINGO AV,ALLEGHENY AV,ARAMINGO AVE & E ALLEGHENY AVE,-75.10632635,39.9885252
ERIE AV,A ST,E ERIE AVE & A ST,-75.12517985,40.00744517
ERIE AV,A ST,E ERIE AVE & A ST,-75.12517985,40.00744517
ROOSEVELT BLVD,FAUNCE ST,E ROOSEVELT BLVD & FAUNCE ST,-75.05149608,40.05046026
STATE RD,I-95,STATE RD & RHAWN ST,-75.02176223,40.0312465
STATE RD,I-95,STATE RD & RHAWN ST,-75.02176223,40.0312465
ROOSEVELT BLVD,HALDMEAN AV,E ROOSEVELT BLVD & HALDEMAN AVE,-75.00864297,40.10021229
BUSTLETON AV,HALDMEAN AV,BUSTLETON AVE & HALDEMAN AVE,-75.03092857,40.09405249
FRANKFORD AVE,KNORR ST,FRANKFORD AVE & KNORR ST,-75.05097354,40.03232582
RIDGE AV,WALNUT LN,RIDGE AVE & WALNUT LN,-75.20943747,40.02697058
RIDGE AV,GREEN LN,RIDGE AVE & GREEN LN,-75.21593647,40.03411752
RIDGE AV,HERMITAGE ST,RIDGE AVE & HERMITAGE ST,-75.21876006,40.03665587
RIDGE AV,DOMINO LN,RIDGE AVE & DOMINO LN,-75.23204161,40.04532922
RIDGE AV,CATHEDRAL RD,RIDGE AVE & CATHEDRAL RD,-75.23966854,40.06401817
HENRY AV,INDIAN QUEEN,HENRY AVE & INDIAN QUEEN LN,-75.18416814,40.01337012
HENRY AV,SCHOOL HOUSE,HENRY AVE & W SCHOOL HOUSE,-75.19240532,40.02049691
WALNUT LN,HENRY AV,WALNUT LN & HENRY AVE,-75.20561601,40.02866208
HENRY AV,WALNUT LN,HENRY AVE & WALNUT LN,-75.20561601,40.02866208
RIDGE AV,MAIN ST,RIDGE AVE & MAIN ST,-75.20870023,40.01548128
OREGON AV,BROAD ST,OREGON AVE & S BROAD ST,-75.1714235,39.91675866
TASKER ST,BROAD ST,TASKER ST & S BROAD ST,-75.16842313,39.93046668
OREGON AV,20TH ST,OREGON AVE & S 20TH ST,-75.18090071,39.91797227
OREGON AV,21ST ST,OREGON AVE & S 21ST ST,-75.18282151,39.91823359
OREGON AV,21ST ST,OREGON AVE & S 21ST ST,-75.18282151,39.91823359
MORRIS ST,BROAD ST,MORRIS ST & S BROAD ST,-75.16868918,39.92925737
PASSYUNK AV,19TH ST,W PASSYUNK AVE & S 19TH ST,-75.17798329,39.92395289
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636152,39.94003158
BROAD ST,FEDERAL ST,S BROAD ST & FEDERAL ST,-75.16730335,39.93569699
BROAD ST,TASKER ST,S BROAD ST & TASKER ST,-75.16842313,39.93046668
BROAD ST,CURTIN ST,S BROAD ST & CURTIN ST,-75.17305269,39.91051436
BROAD ST,PATTISON AV,S BROAD ST & PATTISON AVE,-75.17414181,39.90543469
BROAD ST,PACKER AV,S BROAD ST & PACKER AVE,-75.17276425,39.91184334
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636152,39.94003158
BROAD ST,CHRISTIAN ST,S BROAD ST & CHRISTIAN ST,-75.16636152,39.94003158
OREGON AV,5TH ST,OREGON AVE & S 5TH ST,-75.15670929,39.91487081
OREGON AV,5TH ST,OREGON AVE & S 5TH ST,-75.15670929,39.91487081
16TH ST,FITZWATER,S 16TH ST & FITZWATER ST,-75.16916649,39.94221872
16TH ST,FITZWATER,S 16TH ST & FITZWATER ST,-75.16916649,39.94221872
16TH ST,MOYAMENSING ST,S 16TH ST & W MOYAMENSING AVE,-75.17491808,39.91577942
16TH ST,MOYAMENSING ST,S 16TH ST & W MOYAMENSING AVE,-75.17491808,39.91577942
11TH ST,PATTISON AV,S 11TH ST & PATTISON AVE,-75.1685149,39.90475007
11TH ST,PATTISON AV,S 11TH ST & PATTISON AVE,-75.1685149,39.90475007
